数据点,cx,cy,象限,FPGA计算角度(rad),MATLAB计算角度(°)
          1, 15646, 21424,1,112.723875,112.720201
          2, 15639, 21359,1,113.080575,113.081344
          3, 15614, 21376,1,113.255428,113.255903
          4, 15596, 21379,1,113.423287,113.422606
          5, 15559, 21385,1,113.765998,113.764043
          6, 15533, 21385,1,114.017786,114.021950
          7, 15510, 21377,1,114.290557,114.286730
          8, 15487, 21365,1,114.570321,114.570304
          9, 15483, 21310,1,114.871068,114.873706
         10, 15453, 21320,1,115.122856,115.122050
         11, 15425, 21333,1,115.339674,115.334012
         12, 15396, 21328,1,115.636924,115.642342
         13, 15371, 21318,1,115.930677,115.935766
         14, 15349, 21317,1,116.154488,116.154644
         15, 15323, 21315,1,116.413270,116.416524
         16, 15333, 21238,1,116.707023,116.713512
         17, 15299, 21254,1,116.958811,116.961711
         18, 15266, 21270,1,117.189617,117.197428
         19, 15239, 21267,1,117.469382,117.472541
         20, 15215, 21270,1,117.686199,117.686332
         21, 15212, 21267,1,117.728164,117.730797
         22, 15197, 21277,1,117.819087,117.820829
         23, 15217, 21205,1,118.014922,118.013822
         24, 15187, 21231,1,118.154805,118.161311
         25, 15169, 21254,1,118.203764,118.209080
         26, 15157, 21259,1,118.294687,118.295950
         27, 15143, 21265,1,118.392605,118.395980
         28, 15134, 21271,1,118.455552,118.448537
         29, 15113, 21268,1,118.658381,118.661904
         30, 15101, 21186,1,119.224904,119.224293
         31, 15086, 21205,1,119.259875,119.260085
         32, 15057, 21210,1,119.504669,119.504102
         33, 15017, 21197,1,119.945298,119.949629
         34, 14981, 21193,1,120.301998,120.305642
         35, 14951, 21178,1,120.665692,120.667703
         36, 14924, 21161,1,121.015397,121.013654
         37, 14895, 21145,1,121.372097,121.372190
         38, 14891, 21085,1,121.763767,121.764165
         39, 14854, 21093,1,122.057520,122.054427
         40, 14825, 21090,1,122.337285,122.335769
         41, 14791, 21075,1,122.728955,122.733772
         42, 14765, 21065,1,123.022708,123.028587
         43, 14732, 21054,1,123.393396,123.391452
         44, 14711, 21054,1,123.575243,123.578277
         45, 14715, 20977,1,124.022866,124.026449
         46, 14671, 20987,1,124.351589,124.354425
         47, 14646, 20983,1,124.603378,124.600839
         48, 14624, 20983,1,124.792219,124.794261
         49, 14598, 20970,1,125.106954,125.105547
         50, 14576, 20955,1,125.400707,125.394631
         51, 14546, 20945,1,125.722436,125.720244
         52, 14557, 20887,1,126.016189,126.008086
         53, 14518, 20885,1,126.358900,126.359745
         54, 14482, 20887,1,126.659647,126.656020
         55, 14464, 20876,1,126.883459,126.884027
         56, 14436, 20877,1,127.114264,127.115624
         57, 14415, 20869,1,127.352064,127.347662
         58, 14395, 20843,1,127.694776,127.693841
         59, 14401, 20784,1,128.051476,128.051331
         60, 14377, 20791,1,128.212340,128.205109
         61, 14336, 20793,1,128.534069,128.534614
         62, 14311, 20779,1,128.841810,128.840708
         63, 14283, 20764,1,129.184522,129.178153
         64, 14265, 20764,1,129.324404,129.326297
         65, 14241, 20748,1,129.635642,129.636648
         66, 14263, 20680,1,129.943383,129.945608
         67, 14225, 20689,1,130.188177,130.191909
         68, 14197, 20685,1,130.446960,130.448822
         69, 14165, 20672,1,130.803659,130.802307
         70, 14142, 20672,1,130.985506,130.986974
         71, 14121, 20661,1,131.237294,131.235467
         72, 14091, 20645,1,131.593994,131.591753
         73, 14124, 20559,1,131.971676,131.973107
         74, 14077, 20575,1,132.223464,132.225762
         75, 14045, 20577,1,132.468258,132.462530
         76, 14023, 20575,1,132.657100,132.649646
         77, 13996, 20563,1,132.950852,132.950413
         78, 13977, 20547,1,133.216629,133.219050
         79, 13955, 20534,1,133.489399,133.487639
         80, 13935, 20526,1,133.699222,133.702021
         81, 13949, 20463,1,134.083899,134.083107
         82, 13906, 20463,1,134.412622,134.410836
         83, 13882, 20459,1,134.622445,134.623470
         84, 13859, 20445,1,134.909204,134.906018
         85, 13837, 20436,1,135.136513,135.141098
         86, 13818, 20425,1,135.367319,135.368993
         87, 13798, 20403,1,135.689048,135.691113
         88, 13813, 20355,1,135.961818,135.964450
         89, 13777, 20358,1,136.199618,136.205235
         90, 13744, 20344,1,136.556318,136.558660
         91, 13726, 20330,1,136.801112,136.802181
         92, 13696, 20312,1,137.157812,137.164029
         93, 13684, 20305,1,137.304688,137.306801
         94, 13661, 20283,1,137.647400,137.650105
         95, 13682, 20235,1,137.892194,137.896598
         96, 13655, 20234,1,138.095023,138.096420
         97, 13618, 20224,1,138.437735,138.439540
         98, 13598, 20221,1,138.605593,138.603935
         99, 13577, 20199,1,138.927322,138.932717
        100, 13549, 20186,1,139.235063,139.234008
        101, 13536, 20171,1,139.451881,139.448614
        102, 13563, 20106,1,139.815575,139.814526
        103, 13521, 20112,1,140.053375,140.049477
        104, 13497, 20108,1,140.249210,140.245532
        105, 13474, 20090,1,140.546460,140.553193
        106, 13445, 20076,1,140.861195,140.865662
        107, 13426, 20061,1,141.112983,141.119564
        108, 13411, 20045,1,141.350783,141.355484
        109, 13441, 19983,1,141.693494,141.697274
        110, 13405, 19983,1,141.931294,141.932442
        111, 13367, 19971,1,142.274006,142.282808
        112, 13343, 19964,1,142.490823,142.497556
        113, 13328, 19949,1,142.721629,142.724248
        114, 13305, 19929,1,143.043358,143.045060
